sh_0.1	
1	0.01
2	0.02
3	0.03
4	0.04
5	0.05
6	0.06
7	0.07
8	0.08
9	0.09
10	0.1
11	0.09
12	0.08
13	0.07
14	0.06
15	0.05
16	0.04
17	0.03
18	0.02
19	0.01
20	0.02
21	0.03
22	0.04
23	0.05
24	0.06
25	0.07
26	0.08
27	0.09
28	0.1
29	0.09
30	0.08
31	0.07
32	0.06
33	0.05
34	0.04
35	0.03
36	0.02
37	0.01
38	0.02
39	0.03
40	0.04
41	0.05
42	0.06
43	0.07
44	0.08
45	0.09
46	0.1
47	0.09
48	0.08
49	0.07
50	0.06
51	0.05
52	0.04
53	0.03
54	0.02
55	0.01
56	0.02
57	0.03
58	0.04
59	0.05
60	0.06
61	0.07
62	0.08
63	0.09
64	0.1
65	0.09
66	0.08
67	0.07
68	0.06
69	0.05
70	0.04
71	0.03
72	0.02
73	0.01
74	0.02
75	0.03
76	0.04
77	0.05
78	0.06
79	0.07
80	0.08
81	0.09
82	0.1
83	0.09
84	0.08
85	0.07
86	0.06
87	0.05
88	0.04
89	0.03
90	0.02
91	0.01
92	0.02
93	0.03
94	0.04
95	0.05
96	0.06
97	0.07
98	0.08
99	0.09
100	0.1
101	0.09
102	0.08
103	0.07
104	0.06
105	0.05
106	0.04
107	0.03
108	0.02
109	0.01
110	0.02
111	0.03
112	0.04
113	0.05
114	0.06
115	0.07
116	0.08
117	0.09
118	0.1
119	0.09
120	0.08
121	0.07
122	0.06
123	0.05
124	0.04
125	0.03
126	0.02
127	0.01
128	0.02
129	0.03
130	0.04
131	0.05
132	0.06
133	0.07
134	0.08
135	0.09
136	0.1
137	0.09
138	0.08
139	0.07
140	0.06
141	0.05
142	0.04
143	0.03
144	0.02
145	0.01
146	0.02
147	0.03
148	0.04
149	0.05
150	0.06
151	0.07
152	0.08
153	0.09
154	0.1
155	0.09
156	0.08
157	0.07
158	0.06
159	0.05
160	0.04
161	0.03
162	0.02
163	0.01
164	0.02
165	0.03
166	0.04
167	0.05
168	0.06
169	0.07
170	0.08
171	0.09
172	0.1
173	0.09
174	0.08
175	0.07
176	0.06
177	0.05
178	0.04
179	0.03
180	0.02
181	0.01
182	0.02
183	0.03
184	0.04
185	0.05
186	0.06
187	0.07
188	0.08
189	0.09
190	0.1
191	0.09
192	0.08
193	0.07
194	0.06
195	0.05
196	0.04
197	0.03
198	0.02
199	0.01
200	0.02
201	0.03
202	0.04
203	0.05
204	0.06
205	0.07
206	0.08
207	0.09
208	0.1
209	0.09
210	0.08
211	0.07
212	0.06
213	0.05
214	0.04
215	0.03
216	0.02
217	0.01
218	0.02
219	0.03
220	0.04
221	0.05
222	0.06
223	0.07
224	0.08
225	0.09
226	0.1
227	0.09
228	0.08
229	0.07
230	0.06
231	0.05
232	0.04
233	0.03
234	0.02
235	0.01
236	0.02
237	0.03
238	0.04
239	0.05
240	0.06
241	0.07
242	0.08
243	0.09
244	0.1
245	0.09
246	0.08
247	0.07
248	0.06
249	0.05
250	0.04
251	0.03
252	0.02
253	0.01
254	0.02
255	0.03
256	0.04
257	0.05
258	0.06
259	0.07
260	0.08
261	0.09
262	0.1
263	0.09
264	0.08
265	0.07
266	0.06
267	0.05
268	0.04
269	0.03
270	0.02
271	0.01
272	0.02
273	0.03
274	0.04
275	0.05
276	0.06
277	0.07
278	0.08
279	0.09
280	0.1
281	0.09
282	0.08
283	0.07
284	0.06
285	0.05
286	0.04
287	0.03
288	0.02
289	0.01
290	0.02
291	0.03
292	0.04
293	0.05
294	0.06
295	0.07
296	0.08
297	0.09
298	0.1
299	0.09
300	0.08
301	0.07
302	0.06
303	0.05
304	0.04
305	0.03
306	0.02
307	0.01
308	0.02
309	0.03
310	0.04
311	0.05
312	0.06
313	0.07
314	0.08
315	0.09
316	0.1
317	0.09
318	0.08
319	0.07
320	0.06
321	0.05
322	0.04
323	0.03
324	0.02
325	0.01
326	0.02
327	0.03
328	0.04
329	0.05
330	0.06
331	0.07
332	0.08
333	0.09
334	0.1
335	0.09
336	0.08
337	0.07
338	0.06
339	0.05
340	0.04
341	0.03
342	0.02
343	0.01
344	0.02
345	0.03
346	0.04
347	0.05
348	0.06
349	0.07
350	0.08
351	0.09
352	0.1
353	0.09
354	0.08
355	0.07
356	0.06
357	0.05
358	0.04
359	0.03
360	0.02
361	0.01
362	0.02
363	0.03
364	0.04
365	0.05
366	0.06
367	0.07
368	0.08
369	0.09
370	0.1
371	0.09
372	0.08
373	0.07
374	0.06
375	0.05
376	0.04
377	0.03
378	0.02
379	0.01
380	0.02
381	0.03
382	0.04
383	0.05
384	0.06
385	0.07
386	0.08
387	0.09
388	0.1
389	0.09
390	0.08
391	0.07
392	0.06
393	0.05
394	0.04
395	0.03
396	0.02
397	0.01
398	0.02
399	0.03
400	0.04
401	0.05
402	0.06
403	0.07
404	0.08
405	0.09
406	0.1
407	0.09
408	0.08
409	0.07
410	0.06
411	0.05
412	0.04
413	0.03
414	0.02
415	0.01
416	0.02
417	0.03
418	0.04
419	0.05
420	0.06
421	0.07
422	0.08
423	0.09
424	0.1
425	0.09
426	0.08
427	0.07
428	0.06
429	0.05
430	0.04
431	0.03
432	0.02
433	0.01
434	0.02
435	0.03
436	0.04
437	0.05
438	0.06
439	0.07
440	0.08
441	0.09
442	0.1
443	0.09
444	0.08
445	0.07
446	0.06
447	0.05
448	0.04
449	0.03
450	0.02
451	0.01
452	0.02
453	0.03
454	0.04
455	0.05
456	0.06
457	0.07
458	0.08
459	0.09
460	0.1
461	0.09
462	0.08
463	0.07
464	0.06
465	0.05
466	0.04
467	0.03
468	0.02
469	0.01
470	0.02
471	0.03
472	0.04
473	0.05
474	0.06
475	0.07
476	0.08
477	0.09
478	0.1
479	0.09
480	0.08
481	0.07
482	0.06
483	0.05
484	0.04
485	0.03
486	0.02
487	0.01
488	0.02
489	0.03
490	0.04
491	0.05
492	0.06
493	0.07
494	0.08
495	0.09
496	0.1
497	0.09
498	0.08
499	0.07
500	0.06
501	0.05
502	0.04
503	0.03
504	0.02
505	0.01
506	0.02
507	0.03
508	0.04
509	0.05
510	0.06
511	0.07
512	0.08
513	0.09
514	0.1
515	0.09
516	0.08
517	0.07
518	0.06
519	0.05
520	0.04
521	0.03
522	0.02
523	0.01
524	0.02
525	0.03
526	0.04
527	0.05
528	0.06
529	0.07
530	0.08
531	0.09
532	0.1
533	0.09
534	0.08
535	0.07
536	0.06
537	0.05
538	0.04
539	0.03
540	0.02
541	0.01
542	0.02
543	0.03
544	0.04
545	0.05
546	0.06
547	0.07
548	0.08
549	0.09
550	0.1
551	0.09
552	0.08
553	0.07
554	0.06
555	0.05
556	0.04
557	0.03
558	0.02
559	0.01
560	0.02
561	0.03
562	0.04
563	0.05
564	0.06
565	0.07
566	0.08
567	0.09
568	0.1
569	0.09
570	0.08
571	0.07
572	0.06
573	0.05
574	0.04
575	0.03
576	0.02
577	0.01
578	0.02
579	0.03
580	0.04
581	0.05
582	0.06
583	0.07
584	0.08
585	0.09
586	0.1
587	0.09
588	0.08
589	0.07
590	0.06
591	0.05
592	0.04
593	0.03
594	0.02
595	0.01
596	0.02
597	0.03
598	0.04
599	0.05
600	0.06
601	0.07
602	0.08
603	0.09
604	0.1
605	0.09
606	0.08
607	0.07
608	0.06
609	0.05
610	0.04
611	0.03
612	0.02
613	0.01
614	0.02
615	0.03
616	0.04
617	0.05
618	0.06
619	0.07
620	0.08
621	0.09
622	0.1
623	0.09
624	0.08
625	0.07
626	0.06
627	0.05
628	0.04
629	0.03
630	0.02
631	0.01
632	0.02
633	0.03
634	0.04
635	0.05
636	0.06
637	0.07
638	0.08
639	0.09
640	0.1
641	0.09
642	0.08
643	0.07
644	0.06
645	0.05
646	0.04
647	0.03
648	0.02
649	0.01
650	0.02
651	0.03
652	0.04
653	0.05
654	0.06
655	0.07
656	0.08
657	0.09
658	0.1
659	0.09
660	0.08
661	0.07
662	0.06
663	0.05
664	0.04
665	0.03
666	0.02
667	0.01
668	0.02
669	0.03
670	0.04
671	0.05
672	0.06
673	0.07
674	0.08
675	0.09
676	0.1
677	0.09
678	0.08
679	0.07
680	0.06
681	0.05
682	0.04
683	0.03
684	0.02
685	0.01
686	0.02
687	0.03
688	0.04
689	0.05
690	0.06
691	0.07
692	0.08
693	0.09
694	0.1
695	0.09
696	0.08
697	0.07
698	0.06
699	0.05
700	0.04
701	0.03
702	0.02
703	0.01
704	0.02
705	0.03
706	0.04
707	0.05
708	0.06
709	0.07
710	0.08
711	0.09
712	0.1
713	0.09
714	0.08
715	0.07
716	0.06
717	0.05
718	0.04
719	0.03
720	0.02
721	0.01
722	0.02
723	0.03
724	0.04
725	0.05
726	0.06
727	0.07
728	0.08
729	0.09
730	0.1
731	0.09
732	0.08
733	0.07
734	0.06
735	0.05
736	0.04
737	0.03
738	0.02
739	0.01
740	0.02
741	0.03
742	0.04
743	0.05
744	0.06
745	0.07
746	0.08
747	0.09
748	0.1
749	0.09
750	0.08
751	0.07
752	0.06
753	0.05
754	0.04
755	0.03
756	0.02
757	0.01
758	0.02
759	0.03
760	0.04
761	0.05
762	0.06
763	0.07
764	0.08
765	0.09
766	0.1
767	0.09
768	0.08
769	0.07
770	0.06
771	0.05
772	0.04
773	0.03
774	0.02
775	0.01
776	0.02
777	0.03
778	0.04
779	0.05
780	0.06
781	0.07
782	0.08
783	0.09
784	0.1
785	0.09
786	0.08
787	0.07
788	0.06
789	0.05
790	0.04
791	0.03
792	0.02
793	0.01
794	0.02
795	0.03
796	0.04
797	0.05
798	0.06
799	0.07
800	0.08
801	0.09
802	0.1
803	0.09
804	0.08
805	0.07
806	0.06
807	0.05
808	0.04
809	0.03
810	0.02
811	0.01
812	0.02
813	0.03
814	0.04
815	0.05
816	0.06
817	0.07
818	0.08
819	0.09
820	0.1
821	0.09
822	0.08
823	0.07
824	0.06
825	0.05
826	0.04
827	0.03
828	0.02
829	0.01
830	0.02
831	0.03
832	0.04
833	0.05
834	0.06
835	0.07
836	0.08
837	0.09
838	0.1
839	0.09
840	0.08
841	0.07
842	0.06
843	0.05
844	0.04
845	0.03
846	0.02
847	0.01
848	0.02
849	0.03
850	0.04
851	0.05
852	0.06
853	0.07
854	0.08
855	0.09
856	0.1
857	0.09
858	0.08
859	0.07
860	0.06
861	0.05
862	0.04
863	0.03
864	0.02
865	0.01
866	0.02
867	0.03
868	0.04
869	0.05
870	0.06
871	0.07
872	0.08
873	0.09
874	0.1
875	0.09
876	0.08
877	0.07
878	0.06
879	0.05
880	0.04
881	0.03
882	0.02
883	0.01
884	0.02
885	0.03
886	0.04
887	0.05
888	0.06
889	0.07
890	0.08
891	0.09
892	0.1
893	0.09
894	0.08
895	0.07
896	0.06
897	0.05
898	0.04
899	0.03
900	0.02
901	0.01
902	0.02
903	0.03
904	0.04
905	0.05
906	0.06
907	0.07
908	0.08
909	0.09
910	0.1
911	0.09
912	0.08
913	0.07
914	0.06
915	0.05
916	0.04
917	0.03
918	0.02
919	0.01
920	0.02
921	0.03
922	0.04
923	0.05
924	0.06
925	0.07
926	0.08
927	0.09
928	0.1
929	0.09
930	0.08
931	0.07
932	0.06
933	0.05
934	0.04
935	0.03
936	0.02
937	0.01
938	0.02
939	0.03
940	0.04
941	0.05
942	0.06
943	0.07
944	0.08
945	0.09
946	0.1
947	0.09
948	0.08
949	0.07
950	0.06
951	0.05
952	0.04
953	0.03
954	0.02
955	0.01
956	0.02
957	0.03
958	0.04
959	0.05
960	0.06
961	0.07
962	0.08
963	0.09
964	0.1
965	0.09
966	0.08
967	0.07
968	0.06
969	0.05
970	0.04
971	0.03
972	0.02
973	0.01
974	0.02
975	0.03
976	0.04
977	0.05
978	0.06
979	0.07
980	0.08
981	0.09
982	0.1
983	0.09
984	0.08
985	0.07
986	0.06
987	0.05
988	0.04
989	0.03
990	0.02
991	0.01
992	0.02
993	0.03
994	0.04
995	0.05
996	0.06
997	0.07
998	0.08
999	0.09
1000	0.1
1001	0.09
1002	0.08
1003	0.07
1004	0.06
1005	0.05
1006	0.04
1007	0.03
1008	0.02
1009	0.01
1010	0.02
1011	0.03
1012	0.04
1013	0.05
1014	0.06
1015	0.07
1016	0.08
1017	0.09
1018	0.1
1019	0.09
1020	0.08
1021	0.07
1022	0.06
1023	0.05
1024	0.04
1025	0.03
1026	0.02
1027	0.01
1028	0.02
1029	0.03
1030	0.04
1031	0.05
1032	0.06
1033	0.07
1034	0.08
1035	0.09
1036	0.1
1037	0.09
1038	0.08
1039	0.07
1040	0.06
1041	0.05
1042	0.04
1043	0.03
1044	0.02
1045	0.01
1046	0.02
